id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1196619020654572556,Cosy mountain hideaway,588450038,Phuong Thanh,,Everton Park,-27.3894089,152.9844152,Entire home/apt,194,1,34,2025-05-25,3.91,1,72,34,
1196627204671875906,Tidy room in a modern family home,90889072,Alexander,,Kedron - Gordon Park,-27.3954074,153.0210076,Private room,70,3,38,2025-06-02,3.67,1,54,38,
1196681608549595004,Private King Room close to QEII Hospital,555438229,Simon,,Coopers Plains,-27.56406144283213,153.04901296534285,Private room,179,1,0,,,3,220,0,
1196759942973521589,Tweet Tree Rooms,11800886,Deborah,,Auchenflower,-27.47062,152.99456,Private room,225,1,4,2025-05-04,0.37,2,360,4,
1196799041643499983,Spacious 5BR 3BA Home w Parking+Yard at Sunnybank,166518895,Alice,,Sunnybank,-27.57364,153.06157,Entire home/apt,263,2,9,2025-06-01,0.89,38,51,9,
1197423323626647234,2Bed 1Bath| CBD Roof Top View| Close to Southbank,477812675,James,,South Brisbane,-27.47276,153.01738,Entire home/apt,122,2,31,2025-06-04,2.85,9,215,31,
1197432355278150342,Queenslander near city-Park Views,557157800,Ouyi,,Norman Park,-27.47750858942864,153.05847287013324,Entire home/apt,249,1,35,2025-05-26,3.32,8,74,35,
1197456100562580780,Quiet House in a Green Space,46053538,Chinh,,Highgate Hill,-27.49106,153.02348,Entire home/apt,290,2,15,2025-06-02,1.39,1,245,15,
1197459051444025993,"Bright Apt w/ Balcony, Rooftop Pool & Parking!",78924442,Lee And Bella,,Fortitude Valley,-27.4546,153.041,Entire home/apt,154,1,17,2025-05-18,2.07,286,355,17,
1197486029023706663,Chic & Modern 2BR Apt w/ Rooftop Pool & Parking,78924442,Lee And Bella,,Newstead - Bowen Hills,-27.45302,153.04106,Entire home/apt,154,1,29,2025-04-20,3.04,286,355,29,
1197624879258771981,The Sunday Sleep-Inn,15155196,Lucinda,,Sandgate - Shorncliffe,-27.328735425439962,153.08743732533566,Entire home/apt,150,1,80,2025-06-05,9.64,1,128,80,
1197650401378241256,The Orchard on St Helens - Poinciana room,17116398,Conni,,Mitchelton,-27.4019,152.97365,Private room,111,2,32,2025-04-24,2.94,2,268,32,
1197650515311062557,The Orchard on St Helens - Treetops room,17116398,Conni,,Mitchelton,-27.40137,152.97241,Private room,103,2,30,2025-06-07,2.74,2,229,30,
1198081731880489591,Huge Valley House ~ Walk to James St & Nightlife,78924442,Lee And Bella,,Fortitude Valley,-27.45354,153.03662,Entire home/apt,649,1,23,2025-05-17,2.28,286,321,23,
1198297976335198148,Spacious & Central loft with Amazing Views!,5905301,Dean,,Fortitude Valley,-27.45853,153.0344,Entire home/apt,159,2,63,2025-06-01,5.69,7,333,63,
1198307089685572744,Ensuite in a townhouse,156169516,Natalia Andrea,,Cannon Hill,-27.46793,153.09574,Private room,,10,1,2024-08-13,0.10,1,0,1,
1198836267966218090,Cosy and convenient room,589222235,Diolita,,Upper Mount Gravatt,-27.55467,153.08102,Private room,69,3,13,2025-05-20,1.20,1,140,13,
1198869812700097031,1Min to Mall! 3Beds Family Retreat@Sunnybank,97177917,Olivia,,Sunnybank,-27.57381,153.06844,Entire home/apt,234,2,15,2025-05-30,1.42,129,252,15,
1198964891803724312,Deluxe 4-Bed Home with Pool & Fire Pit,279001183,MadeComfy,,Wavell Heights,-27.39567,153.04475,Entire home/apt,339,3,21,2025-05-26,1.96,93,278,21,
1199171213930850818,Stylish 2BD Central BNE Apartment 1 Queen 1 Double,560824897,Lee,,Spring Hill,-27.46258,153.03033,Entire home/apt,142,2,23,2025-06-02,2.28,1,321,23,
1199881896913760545,Guest house on acreage - Handy Location,31165,Kathleen,,Belmont - Gumdale,-27.508067399800854,153.1600883729373,Entire home/apt,176,2,7,2025-06-01,1.69,1,147,7,
1200166113814179453,Sunsetters beach house,459003463,Lewis Frank,,Moreton Island,-27.355029207622053,153.42033930122852,Entire home/apt,238,2,10,2025-04-28,1.06,1,232,10,
1200419588621762417,"Cozy 1BR, Perfect for Business trips, Parking&WIFI",535719931,Yue,,South Brisbane,-27.4778042,153.014068,Entire home/apt,189,2,35,2025-05-18,3.30,5,238,35,
1201093455919552822,Art Deco Retreat | Shops & Cafes | Street Parking,57201288,Sooraj,,Highgate Hill,-27.48171,153.01397,Entire home/apt,125,2,30,2025-04-30,2.79,5,154,30,
1201339485965723130,Radiance Residence (RnR),589954232,Miriyam,,Fortitude Valley,-27.45618,153.03168,Entire home/apt,128,1,27,2025-06-05,2.88,1,207,27,
1201706571030588820,Spacious 2BR w City Views ~ 100m from James Street,78924442,Lee And Bella,,Fortitude Valley,-27.45717,153.03852,Entire home/apt,162,1,50,2025-05-13,4.64,286,358,50,
1201717742717427296,Breezy in Bardon,334142157,Ty,,Bardon,-27.463377636988433,152.97975562512875,Private room,93,1,3,2024-08-30,0.30,1,89,3,
1201789907287659287,2-Bed Brisbane City Pad with Pool & Gym,279001183,MadeComfy,,Brisbane City,-27.4719646,153.0249499,Entire home/apt,238,3,13,2025-04-20,1.22,93,319,13,
